round,target,split,rmse,weighted_rmse,effective_target_round
175,uz,validation_focus,0.004080702896782158,,175
210,log1p_kinetic,train_focus,0.14883907087768894,0.14891523334982493,210
210,log1p_kinetic,validation_focus,0.15241125024732793,,210
210,ux,train_focus,0.029254422353173794,0.02925679419018269,210
210,ux,validation_focus,0.010391774205558112,,210
210,uy,train_focus,0.026875468925340824,0.026878492397626973,210
210,uy,validation_focus,0.010217504314896179,,210
210,uz,train_focus,0.004061161999892087,0.004062962337476982,210
210,uz,validation_focus,0.0038152269664344786,,210
245,log1p_kinetic,train_focus,0.14700724078150146,0.14708035864938107,245
245,log1p_kinetic,validation_focus,0.15193614783389497,,245
245,ux,train_focus,0.029202727144095206,0.02920507945995304,245
245,ux,validation_focus,0.01035550798478943,,245
245,uy,train_focus,0.02681561691821378,0.026818643114642614,245
245,uy,validation_focus,0.010109535088884463,,245
245,uz,train_focus,0.0038689667625002445,0.003870587138959386,245
245,uz,validation_focus,0.0036138904874603974,,245
280,log1p_kinetic,train_focus,0.14531504522816863,0.1453857422516427,280
280,log1p_kinetic,validation_focus,0.1515481763081846,,280
280,ux,train_focus,0.029160680354403133,0.029163016242969065,280
280,ux,validation_focus,0.010317601994408987,,280
280,uy,train_focus,0.02676838725848696,0.026771411132078468,280
280,uy,validation_focus,0.010065580400971552,,280
280,uz,train_focus,0.0037266942685092847,0.0037282027299908684,280
280,uz,validation_focus,0.0034694189827607306,,280
315,log1p_kinetic,train_focus,0.1438076001407575,0.143876417748688,315
315,log1p_kinetic,validation_focus,0.1513215148508256,,315
315,ux,train_focus,0.029127136235809262,0.029129462095697917,315
315,ux,validation_focus,0.010299779309379191,,315
315,uy,train_focus,0.026730670314658894,0.02673369747367402,315
315,uy,validation_focus,0.01002680768747133,,315
315,uz,train_focus,0.0036113315976786186,0.003612744094917928,315
315,uz,validation_focus,0.003352312868758298,,315
350,log1p_kinetic,train_focus,0.14241250110295042,0.1424791171712715,350
350,log1p_kinetic,validation_focus,0.15112033605564945,,350
350,ux,train_focus,0.029091038694914022,0.029093345011467386,350
350,ux,validation_focus,0.010277418145536564,,350
350,uy,train_focus,0.026697009770187012,0.026700037075232167,350
350,uy,validation_focus,0.009979378525485857,,350
350,uz,train_focus,0.0035172578797421556,0.003518587521243637,350
350,uz,validation_focus,0.003256318476879383,,350
385,log1p_kinetic,train_focus,0.14111686622398478,0.14118128922693013,385
385,log1p_kinetic,validation_focus,0.15097472816455001,,385
385,ux,train_focus,0.029063949459383343,0.029066242498714437,385
385,ux,validation_focus,0.010250235919081226,,385
385,uy,train_focus,0.026670497834842953,0.026673522720018383,385
385,uy,validation_focus,0.009950850898632225,,385
385,uz,train_focus,0.0034403347775799173,0.0034416054345367915,385
385,uz,validation_focus,0.0031794249254353743,,385
420,log1p_kinetic,train_focus,0.1398672720156906,0.13993013257271134,420
420,log1p_kinetic,validation_focus,0.15084705464710135,,420
420,ux,train_focus,0.02904144822740995,0.02904372556873648,420
420,ux,validation_focus,0.010246063112871608,,420
420,uy,train_focus,0.02664711253700802,0.026650137220063444,420
420,uy,validation_focus,0.009931660854835647,,420
420,uz,train_focus,0.0033781801203870993,0.0033794077814619772,420
